Numero de documentos del corpus :9688
N�mero de palabras del corpus:112947
Palabra:pretttyll	Frec:1.0	LogProb:-11.099944684820402
Palabra:Group	Frec:1.0	LogProb:-11.099944684820402
Palabra:Art	Frec:1.0	LogProb:-11.099944684820402
Palabra:cut	Frec:17.0	LogProb:-8.902720107484182
Palabra:BTW	Frec:10.0	LogProb:-9.395196592581977
Palabra:Kooks	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ewwiee	Frec:1.0	LogProb:-11.099944684820402
Palabra:Vanilla	Frec:3.0	LogProb:-10.406797504260457
Palabra:cuz	Frec:43.0	LogProb:-8.008902231462086
Palabra:Jianken	Frec:1.0	LogProb:-11.099944684820402
Palabra:dread	Frec:1.0	LogProb:-11.099944684820402
Palabra:harass	Frec:1.0	LogProb:-11.099944684820402
Palabra:worries	Frec:5.0	LogProb:-10.001332396152291
Palabra:chnls	Frec:1.0	LogProb:-11.099944684820402
Palabra:reported	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ask	Frec:4.0	LogProb:-10.183653952946246
Palabra:worried	Frec:3.0	LogProb:-10.406797504260457
Palabra:kitchen	Frec:3.0	LogProb:-10.406797504260457
Palabra:afterparty	Frec:1.0	LogProb:-11.099944684820402
Palabra:shout	Frec:1.0	LogProb:-11.099944684820402
Palabra:prevented	Frec:1.0	LogProb:-11.099944684820402
Palabra:ankle	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ass	Frec:16.0	LogProb:-8.95987852132413
Palabra:BUT	Frec:5.0	LogProb:-10.001332396152291
Palabra:SUCH	Frec:1.0	LogProb:-11.099944684820402
Palabra:think	Frec:401.0	LogProb:-5.796639776761325
Palabra:BUS	Frec:1.0	LogProb:-11.099944684820402
Palabra:non-fat	Frec:1.0	LogProb:-11.099944684820402
Palabra:ingredient	Frec:3.0	LogProb:-10.406797504260457
Palabra:languages	Frec:5.0	LogProb:-10.001332396152291
Palabra:reporter	Frec:1.0	LogProb:-11.099944684820402
Palabra:EVERYTHING	Frec:3.0	LogProb:-10.406797504260457
Palabra:thinq	Frec:1.0	LogProb:-11.099944684820402
Palabra:shove	Frec:1.0	LogProb:-11.099944684820402
Palabra:languagei	Frec:1.0	LogProb:-11.099944684820402
Palabra:okaywelllllll	Frec:1.0	LogProb:-11.099944684820402
Palabra:marketing	Frec:1.0	LogProb:-11.099944684820402
Palabra:torture	Frec:2.0	LogProb:-10.694479576712236
Palabra:Ate	Frec:1.0	LogProb:-11.099944684820402
Palabra:hmmmmy	Frec:1.0	LogProb:-11.099944684820402
Palabra:thing	Frec:161.0	LogProb:-6.705495530147963
Palabra:won't	Frec:19.0	LogProb:-8.797359591826355
Palabra:jar's	Frec:1.0	LogProb:-11.099944684820402
Palabra:thigh	Frec:2.0	LogProb:-10.694479576712236
Palabra:FRIEND	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ashlee	Frec:1.0	LogProb:-11.099944684820402
Palabra:HUGE	Frec:5.0	LogProb:-10.001332396152291
Palabra:niggyyy:	Frec:1.0	LogProb:-11.099944684820402
Palabra:YuCkIE	Frec:1.0	LogProb:-11.099944684820402
Palabra:Aug	Frec:2.0	LogProb:-10.694479576712236
Palabra:Osbourne	Frec:1.0	LogProb:-11.099944684820402
Palabra:shook	Frec:1.0	LogProb:-11.099944684820402
Palabra:paying	Frec:6.0	LogProb:-9.847181716325034
Palabra:There	Frec:19.0	LogProb:-8.797359591826355
Palabra:holidays	Frec:12.0	LogProb:-9.22814250791881
Palabra:workin	Frec:2.0	LogProb:-10.694479576712236
Palabra:commericals	Frec:1.0	LogProb:-11.099944684820402
Palabra:shoot	Frec:4.0	LogProb:-10.183653952946246
Palabra:Midway	Frec:1.0	LogProb:-11.099944684820402
Palabra:starts	Frec:7.0	LogProb:-9.713650323700511
Palabra:we''ll	Frec:1.0	LogProb:-11.099944684820402
Palabra:a-hole	Frec:1.0	LogProb:-11.099944684820402
Palabra:stability	Frec:2.0	LogProb:-10.694479576712236
Palabra:budget	Frec:3.0	LogProb:-10.406797504260457
Palabra:actual	Frec:2.0	LogProb:-10.694479576712236
Palabra:glass	Frec:5.0	LogProb:-10.001332396152291
Palabra:lmfaor	Frec:1.0	LogProb:-11.099944684820402
Palabra:Diego	Frec:1.0	LogProb:-11.099944684820402
Palabra:lmfaoo	Frec:3.0	LogProb:-10.406797504260457
