Numero de documentos del corpus :6747
N�mero de palabras del corpus:97247
Palabra:SUCHH	Frec:1.0	LogProb:-11.191962337949786
Palabra:Ask	Frec:2.0	LogProb:-10.786497229841622
Palabra:skinny	Frec:11.0	LogProb:-9.400202868721731
Palabra:worried	Frec:2.0	LogProb:-10.786497229841622
Palabra:kitchen	Frec:5.0	LogProb:-10.093350049281677
Palabra:;__;	Frec:3.0	LogProb:-10.49881515738984
Palabra:shout	Frec:2.0	LogProb:-10.786497229841622
Palabra:Chili's	Frec:3.0	LogProb:-10.49881515738984
Palabra:callled	Frec:1.0	LogProb:-11.191962337949786
Palabra:Ass	Frec:17.0	LogProb:-8.994737760613566
Palabra:SUCH	Frec:5.0	LogProb:-10.093350049281677
Palabra:BUT	Frec:2.0	LogProb:-10.786497229841622
Palabra:think	Frec:157.0	LogProb:-6.822514485482764
Palabra:rickroll	Frec:2.0	LogProb:-10.786497229841622
Palabra:drilly	Frec:2.0	LogProb:-10.786497229841622
Palabra:Obama	Frec:3.0	LogProb:-10.49881515738984
Palabra:LOLSPEAK	Frec:2.0	LogProb:-10.786497229841622
Palabra:HUSBAND	Frec:3.0	LogProb:-10.49881515738984
Palabra:parranda	Frec:2.0	LogProb:-10.786497229841622
Palabra:BUY	Frec:2.0	LogProb:-10.786497229841622
Palabra:WPMU	Frec:2.0	LogProb:-10.786497229841622
Palabra:EVERYTHING	Frec:3.0	LogProb:-10.49881515738984
Palabra:lottery	Frec:2.0	LogProb:-10.786497229841622
Palabra:Lawyers	Frec:2.0	LogProb:-10.786497229841622
Palabra:team	Frec:6.0	LogProb:-9.939199369454418
Palabra:shove	Frec:1.0	LogProb:-11.191962337949786
Palabra:SUCK	Frec:1.0	LogProb:-11.191962337949786
Palabra:YES.	Frec:2.0	LogProb:-10.786497229841622
Palabra:They	Frec:30.0	LogProb:-8.451122314024584
Palabra:marketing	Frec:3.0	LogProb:-10.49881515738984
Palabra:txt	Frec:2.0	LogProb:-10.786497229841622
Palabra:watch	Frec:48.0	LogProb:-7.993289220399104
Palabra:speech	Frec:2.0	LogProb:-10.786497229841622
